Questions,Answers
Auf allen Autobahnen soll ein generelles Tempolimit gelten.,1
Deutschland soll seine Verteidigungsausgaben erhöhen.,-1
Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.,1
Die Förderung von Windenergie soll beendet werden.,-1
"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden.",-1
Impfstoffe gegen Covid-19 sollen weiterhin durch Patente geschützt sein.,1
Der für das Jahr 2038 geplante Ausstieg aus der Kohleverstromung soll vorgezogen werden.,-1
Alle Erwerbstätigen sollen in der gesetzlichen Rentenversicherung versichert sein müssen.,1
Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.,-1
"Auf den Umsatz, der in Deutschland mit digitalen Dienstleistungen erzielt wird, soll eine nationale Steuer erhoben werden.",-1
"Die traditionelle Familie aus Vater, Mutter und Kindern soll stärker als andere Lebensgemeinschaften gefördert werden.",1
Spenden von Unternehmen an Parteien sollen weiterhin erlaubt sein.,1
Studentinnen und Studenten sollen BAföG unabhängig vom Einkommen ihrer Eltern erhalten.,1
"In Deutschland soll es generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben.",1
Bundesbehörden sollen in ihren Veröffentlichungen unterschiedliche Geschlechtsidentitäten sprachlich berücksichtigen.,1
"Die Ostsee-Pipeline „Nord Stream 2“, die Gas von Russland nach Deutschland transportiert, soll wie geplant in Betrieb gehen dürfen.",1
Der Solidaritätszuschlag soll vollständig abgeschafft werden.,1
Das Tragen eines Kopftuchs soll Beamtinnen im Dienst generell erlaubt sein.,1
Die Zulassung von neuen Autos mit Verbrennungsmotor soll auch langfristig möglich sein.,1
Der Bund soll mehr Zuständigkeiten in der Schulpolitik erhalten.,1
Der Bund soll Projekte zur Bekämpfung des Antisemitismus stärker finanziell unterstützen.,1
Chinesische Firmen sollen keine Aufträge für den Ausbau der Kommunikationsinfrastruktur in Deutschland erhalten dürfen.,-1
Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.,-1
Der kontrollierte Verkauf von Cannabis soll generell erlaubt sein.,1
Deutschland soll aus der Europäischen Union austreten.,-1
Die Landeslisten der Parteien für die Wahlen zum Deutschen Bundestag sollen abwechselnd mit Frauen und Männern besetzt werden müssen.,-1
Stationäre Behandlungen im Krankenhaus sollen weiterhin über eine Fallpauschale abgerechnet werden.,-1
Auf hohe Vermögen soll wieder eine Steuer erhoben werden.,-1
Bei der Videoüberwachung öffentlicher Plätze soll Gesichtserkennungssoftware eingesetzt werden dürfen.,-1
Auch Ehepaare ohne Kinder sollen weiterhin steuerlich begünstigt werden.,1
Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.,1
Islamische Verbände sollen als Religionsgemeinschaften staatlich anerkannt werden können.,-1
Der staatlich festgelegte Preis für den Ausstoß von CO2 beim Heizen und Autofahren soll stärker steigen als geplant.,1
Die Schuldenbremse im Grundgesetz soll beibehalten werden.,-1
Asyl soll weiterhin nur politisch Verfolgten gewährt werden.,1
Der gesetzliche Mindestlohn soll spätestens im Jahr 2022 auf mindestens 12 Euro erhöht werden.,1
Der Flugverkehr soll höher besteuert werden.,1
"Unternehmen sollen selbst entscheiden, ob sie ihren Beschäftigten das Arbeiten im Homeoffice erlauben.",-1
